OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost, LaborCost,Tax,Total
1,tom,ut,7.9,marble,110.0,3.48,11.78,382.8,1295.8,867.16,2545.76
2,tom,ut,7.9,marble,110.0,3.48,11.78,382.8,1295.8,867.16,2545.76
3,tom,ut,7.9,marble,110.0,3.48,11.78,382.8,1295.8,867.16,2545.76
4,sam,ut,7.9,marble,110.0,3.48,11.78,382.8,1295.8,867.16,2545.76
5,tom,ut,7.9,marble,110.0,3.48,11.78,382.8,1295.8,867.16,2545.76
6,tom,ut,7.9,marble,110.0,3.48,11.78,382.8,1295.8,867.16,2545.76
7,tom,ut,7.9,marble,110.0,3.48,11.78,382.8,1295.8,867.16,2545.76
8,sam,ut,7.9,marble,110.0,3.48,11.78,382.8,1295.8,867.16,2545.76
9,tom,ut,7.9,marble,110.0,3.48,11.78,382.8,1295.8,867.16,2545.76
10,tom,ut,7.9,marble,110.0,3.48,11.78,382.8,1295.8,867.16,2545.76
11,tom,ut,7.9,marble,110.0,3.48,11.78,382.8,1295.8,867.16,2545.76
12,sam,ut,7.9,marble,110.0,3.48,11.78,382.8,1295.8,867.16,2545.76
13,tom,ut,7.9,marble,110.0,3.48,11.78,382.8,1295.8,867.16,2545.76
14,tom,ut,7.9,marble,110.0,3.48,11.78,382.8,1295.8,867.16,2545.76
15,tom,ut,7.9,marble,110.0,3.48,11.78,382.8,1295.8,867.16,2545.76
16,sam,ut,7.9,marble,110.0,3.48,11.78,382.8,1295.8,867.16,2545.76
17,tom,ut,7.9,marble,110.0,3.48,11.78,382.8,1295.8,867.16,2545.76
18,tom,ut,7.9,marble,110.0,3.48,11.78,382.8,1295.8,867.16,2545.76
19,tom,ut,7.9,marble,110.0,3.48,11.78,382.8,1295.8,867.16,2545.76
20,sam,ut,7.9,marble,110.0,3.48,11.78,382.8,1295.8,867.16,2545.76
21,tom,ut,7.9,marble,110.0,3.48,11.78,382.8,1295.8,867.16,2545.76
22,tom,ut,7.9,marble,110.0,3.48,11.78,382.8,1295.8,867.16,2545.76
23,tom,ut,7.9,marble,110.0,3.48,11.78,382.8,1295.8,867.16,2545.76
24,sam,ut,7.9,marble,110.0,3.48,11.78,382.8,1295.8,867.16,2545.76
25,tom,ut,7.9,marble,110.0,3.48,11.78,382.8,1295.8,867.16,2545.76
26,tom,ut,7.9,marble,110.0,3.48,11.78,382.8,1295.8,867.16,2545.76
27,tom,ut,7.9,marble,110.0,3.48,11.78,382.8,1295.8,867.16,2545.76
28,sam,ut,7.9,marble,110.0,3.48,11.78,382.8,1295.8,867.16,2545.76
29,tom,ut,7.9,marble,110.0,3.48,11.78,382.8,1295.8,867.16,2545.76
30,tom,ut,7.9,marble,110.0,3.48,11.78,382.8,1295.8,867.16,2545.76
31,tom,ut,7.9,marble,110.0,3.48,11.78,382.8,1295.8,867.16,2545.76
32,sam,ut,7.9,marble,110.0,3.48,11.78,382.8,1295.8,867.16,2545.76
33,tom,ut,7.9,marble,110.0,3.48,11.78,382.8,1295.8,867.16,2545.76
34,tom,ut,7.9,marble,110.0,3.48,11.78,382.8,1295.8,867.16,2545.76
35,tom,ut,7.9,marble,110.0,3.48,11.78,382.8,1295.8,867.16,2545.76
36,sam,ut,7.9,marble,110.0,3.48,11.78,382.8,1295.8,867.16,2545.76
37,tom,ut,7.9,marble,110.0,3.48,11.78,382.8,1295.8,867.16,2545.76
38,tom,ut,7.9,marble,110.0,3.48,11.78,382.8,1295.8,867.16,2545.76
39,tom,ut,7.9,marble,110.0,3.48,11.78,382.8,1295.8,867.16,2545.76
40,sam,ut,7.9,marble,110.0,3.48,11.78,382.8,1295.8,867.16,2545.76
